"","cidade","area","comodos","banheiros","vagas","andares","animais","mobilia","condominio","aluguel","iptu","seguro","somatorio","cod","andares_new","animais_new","mobilia_new"
"3","Porto Alegre",80,1,1,1,"6","acept","not furnished",1000,2800,0,41,3841,3,6,1,0
"4","Porto Alegre",51,2,1,0,"2","acept","not furnished",270,1112,22,17,1421,4,2,1,0
"7","Rio de Janeiro",72,2,1,0,"7","acept","not furnished",740,1900,85,25,2750,7,7,1,0
"10","Rio de Janeiro",35,1,1,0,"2","acept","furnished",590,2300,35,30,2955,10,2,1,1
"12","Campinas",46,1,1,1,"10","acept","not furnished",550,580,43,8,1181,12,10,1,0
"16","Campinas",330,4,6,6,"0","acept","furnished",680,8000,328,121,9129,16,0,1,1
"18","Rio de Janeiro",88,2,3,1,"9","not acept","furnished",1614,3500,221,16,5351,18,9,0,1
"19","Rio de Janeiro",56,2,1,0,"8","acept","not furnished",800,1220,0,16,2036,19,8,1,0
"22","Belo Horizonte",42,1,1,1,"17","not acept","furnished",470,2690,172,36,3368,22,17,0,1
"25","Rio de Janeiro",90,3,2,1,"7","acept","not furnished",800,1800,118,24,2742,25,7,1,0
"28","Belo Horizonte",64,2,2,1,"11","acept","not furnished",352,1500,80,20,1952,28,11,1,0
"29","Campinas",208,3,2,4,"0","acept","not furnished",0,3180,100,48,3328,29,0,1,0
"34","Rio de Janeiro",45,1,1,1,"10","acept","furnished",2450,2500,593,33,5576,34,10,1,1
"36","Porto Alegre",38,1,1,2,"11","not acept","not furnished",450,1750,0,26,2226,36,11,0,0
"38","Belo Horizonte",80,3,2,1,"0","acept","not furnished",0,11000,425,181,11610,38,0,1,0
"40","Porto Alegre",40,1,1,1,"6","acept","furnished",390,2990,0,44,3424,40,6,1,1
"43","Belo Horizonte",200,4,2,1,"7","not acept","not furnished",850,2550,9,34,3443,43,7,0,0
"44","Belo Horizonte",45,1,1,1,"5","acept","not furnished",500,1631,192,12,2335,44,5,1,0
"47","Belo Horizonte",100,3,1,0,"13","not acept","not furnished",700,1220,10,17,1947,47,13,0,0
"48","Porto Alegre",42,1,1,2,"2","acept","furnished",190,1770,17,26,2003,48,2,1,1
"49","Campinas",250,3,3,2,"1","acept","not furnished",2200,1700,256,22,4178,49,1,1,0
"50","Campinas",48,1,1,1,"2","acept","furnished",505,1600,59,21,2185,50,2,1,1
"51","Rio de Janeiro",90,3,3,1,"10","acept","not furnished",1250,3800,147,49,5246,51,10,1,0
"53","Rio de Janeiro",150,2,3,4,"6","acept","not furnished",1700,4000,700,52,6452,53,6,1,0
"58","Campinas",93,2,3,2,"9","acept","not furnished",663,5500,133,70,6366,58,9,1,0
"59","Porto Alegre",75,3,2,1,"9","acept","not furnished",340,1800,109,27,2276,59,9,1,0
"62","Rio de Janeiro",65,1,1,1,"8","acept","furnished",2000,5100,250,66,7416,62,8,1,1
"65","Rio de Janeiro",35,1,1,0,"5","acept","not furnished",306,1521,21,20,1868,65,5,1,0
"66","Campinas",300,4,4,3,"2","acept","not furnished",2300,6000,417,77,8794,66,2,1,0
"68","Rio de Janeiro",130,3,2,1,"7","acept","not furnished",1660,1700,475,22,3857,68,7,1,0
"69","Rio de Janeiro",80,2,1,1,"20","acept","not furnished",500,900,90,12,1502,69,20,1,0
"71","Belo Horizonte",220,4,2,3,"3","acept","not furnished",450,2422,125,33,3030,71,3,1,0
"74","Belo Horizonte",128,1,1,0,"4","acept","furnished",418,2100,182,28,2728,74,4,1,1
"75","Rio de Janeiro",60,1,1,0,"10","not acept","not furnished",450,1800,48,24,2322,75,10,0,0
"77","Porto Alegre",47,1,1,1,"1","not acept","furnished",400,2200,0,33,2633,77,1,0,1
"78","Belo Horizonte",170,4,3,4,"9","not acept","not furnished",744,2700,296,36,3776,78,9,0,0
"83","Porto Alegre",100,4,3,1,"8","acept","not furnished",600,2200,159,33,2992,83,8,1,0
"85","Belo Horizonte",68,2,1,1,"3","acept","not furnished",320,1200,27,16,1563,85,3,1,0
"86","Belo Horizonte",75,2,2,2,"14","not acept","not furnished",620,2500,264,34,3418,86,14,0,0
"92","Porto Alegre",350,4,4,4,"0","acept","furnished",1,9000,359,160,9520,92,0,1,1
"94","Belo Horizonte",296,4,3,2,"0","acept","not furnished",0,13500,423,222,14150,94,0,1,0
"97","Campinas",44,1,1,0,"7","acept","not furnished",350,550,12,7,919,97,7,1,0
"98","Campinas",240,3,4,2,"0","acept","not furnished",0,3000,250,46,3296,98,0,1,0
"99","Porto Alegre",70,3,2,1,"4","acept","not furnished",490,2500,8,37,3035,99,4,1,0
"101","Porto Alegre",50,1,1,1,"1","acept","not furnished",350,950,50,14,1364,101,1,1,0
"102","Porto Alegre",67,3,2,2,"4","acept","not furnished",600,2200,50,33,2883,102,4,1,0
"104","Rio de Janeiro",90,2,1,1,"1","acept","furnished",850,3468,191,45,4554,104,1,1,1
"105","Rio de Janeiro",109,3,3,1,"1","acept","not furnished",2000,3800,300,49,6149,105,1,1,0
"106","Belo Horizonte",400,4,2,2,"0","not acept","not furnished",0,2500,74,41,2615,106,0,0,0
"108","Campinas",284,4,3,3,"4","acept","not furnished",2340,6000,483,77,8900,108,4,1,0
"109","Porto Alegre",70,2,1,1,"3","acept","furnished",360,2400,30,36,2826,109,3,1,1
"110","Rio de Janeiro",309,4,5,4,"7","acept","not furnished",2661,6500,682,84,9927,110,7,1,0
"114","Campinas",80,2,2,2,"11","acept","not furnished",832,2200,171,28,3231,114,11,1,0
"115","Belo Horizonte",133,4,4,3,"6","not acept","not furnished",1500,7000,800,94,9394,115,6,0,0
"123","Belo Horizonte",100,3,2,2,"2","acept","not furnished",340,1600,183,22,2145,123,2,1,0
"131","Belo Horizonte",95,2,2,1,"3","acept","not furnished",660,1600,164,22,2446,131,3,1,0
"135","Porto Alegre",62,2,2,1,"9","acept","not furnished",350,1800,75,27,2252,135,9,1,0
"137","Campinas",44,1,1,0,"3","acept","furnished",350,916,12,12,1290,137,3,1,1
"138","Belo Horizonte",100,2,1,1,"1","not acept","not furnished",250,1700,116,23,2089,138,1,0,0
"139","Rio de Janeiro",140,3,3,1,"24","not acept","not furnished",900,1370,100,18,2388,139,24,0,0
"143","Rio de Janeiro",52,2,1,0,"2","acept","not furnished",200,1200,43,16,1459,143,2,1,0
"144","Campinas",999,5,7,8,"0","acept","not furnished",0,14000,667,211,14880,144,0,1,0
"146","Belo Horizonte",50,2,1,1,"1","acept","not furnished",160,930,60,13,1163,146,1,1,0
"147","Campinas",200,3,3,2,"0","acept","not furnished",650,2210,184,34,3078,147,0,1,0
"154","Belo Horizonte",200,3,2,5,"0","not acept","not furnished",0,4000,204,66,4270,154,0,0,0
"159","Rio de Janeiro",107,3,2,0,"7","acept","furnished",1460,3200,270,42,4972,159,7,1,1
"160","Rio de Janeiro",105,3,2,0,"1","acept","not furnished",740,2200,9,29,2978,160,1,1,0
"161","Rio de Janeiro",100,3,2,0,"7","acept","not furnished",900,3290,109,43,4342,161,7,1,0
"163","Campinas",24,1,1,0,"1","not acept","furnished",230,1180,9,15,1434,163,1,0,1
"166","Porto Alegre",44,1,1,1,"2","acept","furnished",250,1500,17,22,1789,166,2,1,1
"171","Porto Alegre",90,2,1,1,"2","not acept","not furnished",550,1700,110,25,2385,171,2,0,0
"175","Campinas",101,3,2,0,"5","acept","not furnished",780,2380,91,31,3282,175,5,1,0
"176","Porto Alegre",140,3,4,2,"0","not acept","not furnished",0,3090,0,55,3145,176,0,0,0
"180","Belo Horizonte",90,2,2,2,"3","acept","not furnished",200,2000,84,27,2311,180,3,1,0
"185","Campinas",78,1,2,1,"4","acept","not furnished",0,2290,143,30,2463,185,4,1,0
"186","Porto Alegre",36,1,1,1,"0","acept","not furnished",0,762,15,14,791,186,0,1,0
"187","Campinas",70,2,1,1,"1","acept","not furnished",558,1200,0,16,1774,187,1,1,0
"188","Belo Horizonte",45,1,1,1,"4","not acept","furnished",300,3200,0,43,3543,188,4,0,1
"195","Belo Horizonte",85,3,2,1,"1","acept","not furnished",337,1500,88,20,1945,195,1,1,0
"196","Campinas",83,1,1,1,"4","not acept","not furnished",500,1080,59,14,1653,196,4,0,0
"197","Campinas",85,3,2,2,"16","acept","furnished",550,3300,150,42,4042,197,16,1,1
"198","Belo Horizonte",90,3,2,2,"3","acept","not furnished",325,1600,105,22,2052,198,3,1,0
"199","Belo Horizonte",50,2,1,0,"5","acept","not furnished",0,900,100,12,1012,199,5,1,0
"200","Rio de Janeiro",50,1,1,0,"8","acept","not furnished",600,2900,134,38,3672,200,8,1,0
"201","Belo Horizonte",300,3,2,3,"0","not acept","not furnished",0,6700,539,110,7349,201,0,0,0
"202","Porto Alegre",39,1,1,0,"7","acept","not furnished",350,850,27,13,1240,202,7,1,0
"204","Porto Alegre",60,2,1,0,"1","acept","not furnished",222,1100,46,17,1385,204,1,1,0
"205","Rio de Janeiro",68,2,1,0,"4","not acept","not furnished",750,1250,9,17,2026,205,4,0,0
"208","Rio de Janeiro",258,5,6,0,"0","acept","not furnished",0,8700,670,133,9503,208,0,1,0
"212","Belo Horizonte",180,4,2,2,"0","acept","not furnished",0,1800,210,30,2040,212,0,1,0
"214","Rio de Janeiro",70,2,2,1,"7","acept","furnished",585,1719,77,23,2404,214,7,1,1
"217","Rio de Janeiro",25,1,1,0,"0","acept","not furnished",50,700,0,10,760,217,0,1,0
"218","Rio de Janeiro",170,4,5,0,"10","acept","not furnished",1200,7100,639,92,9031,218,10,1,0
"219","Rio de Janeiro",45,1,1,0,"8","acept","not furnished",900,1570,98,21,2589,219,8,1,0
"220","Belo Horizonte",420,4,4,2,"0","not acept","not furnished",0,7000,200,115,7315,220,0,0,0
